n,tn,3.88060*lgn*sum,1.88234*sqrtn*sum,0.154339*n*sum,0.0230370*nlgn*sum,0.00193887*n^2*sum,0.0000300791*n^3*sum,8.76851E-18*2^n*sum,2.31541E-80*n!*sum,,,
20,4.030973673,16.77167417,8.418080394,3.08678,1.99128515,0.775548,0.2406328,9.19445E-12,5.63E-62,,,
21,3.863133669,17.04482699,8.625965534,3.241119,2.124902146,0.85504167,0.278562545,1.83889E-11,1.18E-60,,,
22,3.650359869,17.30527034,8.828957202,3.395458,2.260102376,0.93841308,0.320282257,3.67778E-11,2.59E-59,,,
23,3.830770969,17.55413453,9.027385509,3.549797,2.396813826,1.02566223,0.36597241,7.35556E-11,6.00E-58,,,
24,4.050990343,17.79240548,9.221545046,3.704136,2.534970747,1.11678912,0.415813478,1.47111E-10,1.44E-56,,,
25,4.226884365,18.02094833,9.4117,3.858475,2.674512875,1.21179375,0.469985938,2.94222E-10,3.59E-55,,,
26,4.663251877,18.24052637,9.598088392,4.012814,2.815384775,1.31067612,0.528670262,5.88445E-10,9.33E-54,,,
27,5.068823576,18.45181644,9.780925552,4.167153,2.957535272,1.41343623,0.592046925,1.17689E-09,2.52E-52,,,
28,5.266806364,18.65542151,9.960407045,4.321492,3.100916989,1.52007408,0.660296403,2.35378E-09,7.06E-51,,,
29,5.164850473,18.85188105,10.13671112,4.475831,3.245485938,1.63058967,0.73359917,4.70756E-09,2.05E-49,,,
30,5.007435322,19.04167965,10.31000079,4.63017,3.39120116,1.744983,0.8121357,9.41512E-09,6.14E-48,,,
31,4.93748188,19.2252542,10.48042557,4.784509,3.538024432,1.86325407,0.896086468,1.88302E-08,1.90E-46,,,
32,5.355774164,19.403,10.64812303,4.938848,3.68592,1.98540288,0.985631949,3.76605E-08,6.09E-45,,,
33,5.485246181,19.57527582,10.81322005,5.093187,3.834854341,2.11142943,1.080952617,7.53209E-08,2.01E-43,,,
34,5.485433817,19.7424083,10.97583399,5.247526,3.98479597,2.24133372,1.182228946,1.50642E-07,6.83E-42,,,
35,5.906561136,19.90469568,11.13607362,5.401865,4.13571525,2.37511575,1.289641413,3.01284E-07,2.38E-40,,,
36,6.290303946,20.06241096,11.29404,5.556204,4.287584242,2.51277552,1.40337049,6.02567E-07,8.61E-39,,,
37,6.096658945,20.21580473,11.44982722,5.710543,4.440376555,2.65431303,1.523596652,1.20E-06,3.20E-37,,,
38,6.182616711,20.36510751,11.60352305,5.864882,4.594067233,2.79972828,1.650500375,2.41E-06,1.21E-35,,,
39,6.206089973,20.51053185,11.75520953,6.019221,4.748632625,2.94902127,1.784262133,4.82E-06,4.72E-34,,,
40,6.280318975,20.65227417,11.90496346,6.17356,4.904050301,3.102192,1.9250624,9.65E-06,1.89E-32,,,
41,6.4737854,20.79051631,12.05285688,6.327899,5.060298947,3.25924047,2.073081651,1.93E-05,7.76E-31,,,
42,6.819305658,20.92542699,12.19895745,6.482238,5.217358293,3.42016668,2.228500361,3.86E-05,3.26E-29,,,
43,7.083657742,21.05716301,12.34332883,6.636577,5.375209031,3.58497063,2.391499004,7.72E-05,1.40E-27,,,
44,7.12101841,21.18587034,12.48603102,6.790916,5.533832752,3.75365232,2.562258054,1.54E-04,6.16E-26,,,
45,7.061773062,21.31168512,12.62712059,6.945255,5.693211889,3.92621175,2.740957988,3.09E-04,2.78E-24,,,
46,7.325820684,21.43473453,12.76665102,7.099594,5.853329652,4.10264892,2.927779278,6.17E-04,1.27E-22,,,
47,7.459951162,21.5551375,12.90467288,7.253933,6.014169978,4.28296383,3.122902399,1.24E-03,6.00E-21,,,
48,7.58813858,21.67300548,13.04123407,7.408272,6.175717493,4.46715648,3.326507827,2.46E-03,2.87E-19,,,
49,8.05134964,21.78844302,13.17638,7.562611,6.337957464,4.65522687,3.538776036,4.94E-03,1.41E-17,,,
50,9.170379162,21.90154833,13.31015379,7.71695,6.500875752,4.847175,3.7598875,9.91E-03,7.04E-16,,,
51,7.931417942,22.01241378,13.44259639,7.871289,6.664458792,5.04300087,3.990022694,1.97E-02,3.59E-14,,,
52,7.960861444,22.12112637,13.57374678,8.025628,6.828693548,5.24270448,4.229362093,3.95E-02,1.87E-12,,,
53,8.09072423,22.22776812,13.70364205,8.179967,6.993567486,5.44628583,4.478086171,7.90E-02,9.89E-11,,,
54,9.425465107,22.33241644,13.83231757,8.334306,7.159068543,5.65374492,4.736375402,1.58E-01,5.35E-09,,,
55,8.944139004,22.43514451,13.95980706,8.488645,7.325185104,5.86508175,5.004410263,3.16E-01,2.94E-07,,,
56,8.962766409,22.53602151,14.08614273,8.642984,7.491905978,6.08029632,5.282371226,6.32E-01,1.65E-05,,,
57,10.00026417,22.63511299,14.21135535,8.797323,7.659220373,6.29938863,5.570438766,1.26E+00,9.38E-04,,,
58,9.966220617,22.73248105,14.33547435,8.951662,7.827117874,6.52235868,5.868793359,2.53E+00,5.44E-02,,,
59,9.630324602,22.82818462,14.45852789,9.106001,7.995588427,6.74920647,6.177615479,5.05E+00,3.22E+00,,,
MSE,,189.819,26.6282,0.32812,2.89558,10.8037,18.0377,42.1988,4.49E+01,,,
